x,y,U,V,p,patch
1.364,-1.0,55.577,0.71343,-3.5067,bottom
1.508,-1.0,55.564,0.66299,-3.0375,bottom
1.472,-1.0,55.567,0.676,-3.1495,bottom
0.704,-1.0,55.633,0.48398,-3.7083,bottom
-0.604,-1.0,55.521,-0.44674,2.2636,bottom
1.052,-1.0,55.612,0.75353,-4.3342,bottom
1.7,-1.0,55.553,0.59735,-2.5412,bottom
-0.124,-1.0,55.527,-0.72772,2.3517,bottom
1.976,-1.0,55.538,0.5126,-1.6869,bottom
-0.148,-1.0,55.525,-0.73121,2.4386,bottom
0.944,-1.0,55.623,0.71657,-4.3589,bottom
1.604,-1.0,55.558,0.62889,-2.7666,bottom
1.796,-1.0,55.549,0.56941,-2.3565,bottom
0.692,-1.0,55.633,0.46654,-3.654,bottom
1.052,-1.0,55.612,0.75353,-4.3342,bottom
1.796,-1.0,55.549,0.56941,-2.3565,bottom
0.728,-1.0,55.633,0.51727,-3.8119,bottom
-0.412,-1.0,55.516,-0.62891,2.6616,bottom
0.608,-1.0,55.631,0.33064,-3.2317,bottom
1.484,-1.0,55.566,0.67167,-3.1116,bottom
-0.1,-1.0,55.53,-0.72172,2.2521,bottom
-0.52,-1.0,55.518,-0.53337,2.4729,bottom
-0.16,-1.0,55.524,-0.73203,2.4773,bottom
-0.652,-1.0,55.523,-0.39396,2.126,bottom
0.62,-1.0,55.631,0.35142,-3.2963,bottom
1.676,-1.0,55.554,0.60491,-2.5933,bottom
1.916,-1.0,55.545,0.53691,-2.1176,bottom
-0.028,-1.0,55.538,-0.68813,1.877,bottom
-0.244,-1.0,55.519,-0.7215,2.6642,bottom
1.196,-1.0,55.596,0.75473,-4.0426,bottom
1.916,-1.0,55.545,0.53691,-2.1176,bottom
1.004,-1.0,55.617,0.74159,-4.3692,bottom
-0.856,-1.0,55.536,-0.15708,1.3823,bottom
1.376,-1.0,55.576,0.7095,-3.4661,bottom
1.88,-1.0,55.547,0.54702,-2.2025,bottom
1.772,-1.0,55.55,0.57606,-2.3998,bottom
0.452,-1.0,55.619,0.033564,-2.253,bottom
1.628,-1.0,55.557,0.6207,-2.7059,bottom
0.2,-1.0,55.577,-0.43074,0.046097,bottom
0.848,-1.0,55.629,0.65018,-4.2104,bottom
-0.304,-1.0,55.517,-0.69814,2.7144,bottom
-0.76,-1.0,55.529,-0.26987,1.7721,bottom
-0.928,-1.0,55.543,-0.073955,0.98305,bottom
0.188,-1.0,55.575,-0.44938,0.15949,bottom
0.296,-1.0,55.595,-0.26674,-0.87887,bottom
-0.556,-1.0,55.519,-0.4973,2.3886,bottom
0.164,-1.0,55.57,-0.4852,0.38287,bottom
-0.592,-1.0,55.52,-0.45961,2.2961,bottom
1.904,-1.0,55.546,0.54041,-2.149,bottom
1.712,-1.0,55.552,0.59366,-2.5162,bottom
0.26,-1.0,55.588,-0.33101,-0.53105,bottom
0.26,-1.0,55.588,-0.33101,-0.53105,bottom
-0.76,-1.0,55.529,-0.26987,1.7721,bottom
-0.484,-1.0,55.517,-0.56755,2.5476,bottom
1.244,-1.0,55.59,0.74633,-3.9014,bottom
0.428,-1.0,55.616,-0.014031,-2.0698,bottom
1.496,-1.0,55.565,0.66733,-3.0743,bottom
-0.424,-1.0,55.516,-0.61942,2.6464,bottom
0.404,-1.0,55.613,-0.061283,-1.8719,bottom
-0.988,-1.0,55.554,-0.010439,0.39187,bottom
-0.736,-1.0,55.528,-0.29788,1.8566,bottom
1.316,-1.0,55.582,0.72818,-3.6684,bottom
-0.844,-1.0,55.535,-0.17116,1.4372,bottom
-0.424,-1.0,55.516,-0.61942,2.6464,bottom
0.344,-1.0,55.603,-0.17721,-1.3338,bottom
-0.472,-1.0,55.517,-0.57847,2.5701,bottom
0.38,-1.0,55.609,-0.10802,-1.6619,bottom
1.352,-1.0,55.578,0.71727,-3.5473,bottom
0.596,-1.0,55.63,0.30946,-3.1659,bottom
-0.388,-1.0,55.516,-0.64692,2.6871,bottom
1.292,-1.0,55.585,0.73485,-3.748,bottom
0.692,-1.0,55.633,0.46654,-3.654,bottom
-0.22,-1.0,55.52,-0.7273,2.6254,bottom
-0.112,-1.0,55.528,-0.72504,2.3035,bottom
1.208,-1.0,55.594,0.75296,-4.0088,bottom
0.836,-1.0,55.63,0.63943,-4.1806,bottom
1.856,-1.0,55.547,0.55339,-2.2491,bottom
1.4,-1.0,55.574,0.70142,-3.3853,bottom
1.592,-1.0,55.559,0.63305,-2.798,bottom
0.98,-1.0,55.619,0.73299,-4.3726,bottom
-0.436,-1.0,55.516,-0.60961,2.6295,bottom
0.872,-1.0,55.628,0.67001,-4.2627,bottom
1.82,-1.0,55.549,0.56292,-2.3139,bottom
1.328,-1.0,55.581,0.72466,-3.6282,bottom
-0.328,-1.0,55.516,-0.68555,2.7174,bottom
0.956,-1.0,55.621,0.72253,-4.366,bottom
-0.196,-1.0,55.521,-0.73091,2.5751,bottom
-0.028,-1.0,55.538,-0.68813,1.877,bottom
0.116,-1.0,55.561,-0.55049,0.81144,bottom
-0.808,-1.0,55.532,-0.2135,1.5897,bottom
1.568,-1.0,55.56,0.64148,-2.8631,bottom
0.044,-1.0,55.549,-0.63081,1.392,bottom
1.82,-1.0,55.549,0.56292,-2.3139,bottom
1.844,-1.0,55.548,0.55656,-2.2711,bottom
1.028,-1.0,55.615,0.7484,-4.3563,bottom
-0.052,-1.0,55.535,-0.70195,2.0147,bottom
1.148,-1.0,55.601,0.75927,-4.1657,bottom
1.508,-1.0,55.564,0.66299,-3.0375,bottom
0.92,-1.0,55.624,0.70315,-4.3371,bottom
1.928,-1.0,55.545,0.5332,-2.0807,bottom
0.9065,-0.013625,0.0,0.0,11.163,foil
0.212,-0.058,0.0,0.0,-546.17,foil
0.44525,-0.056,0.0,0.0,-232.39,foil
0.89638,0.014875,0.0,0.0,10.55,foil
0.79588,0.02675,0.0,0.0,-112.51,foil
0.69294,-0.03725,0.0,0.0,-236.76,foil
0.57875,0.047375,0.0,0.0,-235.61,foil
0.33575,0.05975,0.0,0.0,-499.56,foil
0.91869,0.012125,0.0,0.0,112.84,foil
0.41056,0.057625,0.0,0.0,-414.41,foil
0.40062,-0.058,0.0,0.0,-425.69,foil
0.92019,-0.012,0.0,0.0,25.667,foil
0.143,0.05275,0.0,0.0,-765.65,foil
0.16887,0.05525,0.0,0.0,-524.34,foil
0.16306,-0.05475,0.0,0.0,-715.02,foil
